"","ARI","AMI","NMI","spARI"
"BNPMFA",0.536072433991062,0.528089315404801,0.528826366952158,0.637222516923161
"BayesSpace",0.316461488057386,0.489208281708766,0.490360192482838,0.327973517418748
"SCMEB",0.425014594317497,0.519515797143671,0.520555913511646,0.409723524824091
"DRSC",0.349347279246748,0.442402713946223,0.443051483673843,0.417772253728436
"Louvain",0.337306836745717,0.43883411485534,0.440083371446888,0.330100097647214
"SpaGCN",0.364105704770512,0.453588642871212,0.454816951513587,0.35178927123549
"BASS",0.40586554365694,0.602223363143235,0.60309272385537,0.386746632482861
"STAGATE",0.385832639556329,0.551679440118192,0.55272572575415,0.413489532931856
"GraphST",0.421023885006025,0.520314489101548,0.521351282900094,0.418039090424686
"ADEPT",0.438472008410374,0.553971209407189,0.555012518445796,0.455829149608785
"BANKSY",0.431972077497501,0.53069621809487,0.531737458665829,0.442820019944335
