"ARI" "" "" "" ""
"result.1" 0.974828931234965 3 -8098399.95295047 -99004.7186681149 16557673.3711363
"result.2" 0.972449560818562 3 -8151623.04302301 -99117.0262465206 16664344.1664382
"result.3" 0.976325993117032 3 -8138439.17369352 -99194.0742797009 16638130.5238456
"result.4" 0.974178091429568 3 -8136854.38891983 -98901.3320595578 16634375.4698579
"result.5" 0.967921302488091 3 -8132394.02855167 -99343.6821356865 16626339.4492739
"result.6" 0.966123400692028 3 -8129391.97369483 -98720.1446487634 16619088.2645863
"result.7" 0.950162315376273 3 -8102407.17138329 -99122.7167010391 16565923.8040678
"result.8" 0 1 -8160286.08207301 -99889.3862045067 16683067.409276
"result.9" 0.948079706975415 3 -8091193.28189329 -98762.8267645037 16542776.2452147
"result.10" 0.969355666533106 3 -8132944.13939256 -99070.3165736154 16626892.9398315
"result.11" 0.978913709667973 3 -8163668.49595569 -98828.7005293722 16687858.4208692
"result.12" 0.988967954846891 3 -8116196.67320337 -99122.2115981143 16593501.7975021
"result.13" 0.979736433979915 3 -8119646.98816968 -98933.716838823 16600025.4379161
"result.14" 0.955440634820177 3 -8143806.17543718 -98888.2171377596 16648252.813049
"result.15" 0.956769097914359 3 -8123075.83146034 -99173.7446700363 16607363.1801599
"result.16" 0.983715263332818 3 -8103569.73556449 -99150.1785277869 16568303.8560837
"result.17" 0.942028769369787 3 -8110594.21545036 -99120.4497024577 16582293.3582048
"result.18" 0.983254443333198 3 -8105594.11480983 -98868.511097515 16571789.2797138
"result.19" 0.971936731400612 3 -8093829.05387686 -98946.690770985 16548415.5171948
"result.20" 0.977879892334698 3 -8130538.60977218 -98916.8305996769 16621774.9086428
"result.21" 0.966902646858423 3 -8190920.39175439 -99359.9024215597 16743424.616251
"result.22" 0.96274287625007 3 -8140101.17765159 -99089.5842789017 16641245.5517601
"result.23" 0 1 -8125429.42227202 -99667.6312500817 16612910.5797652
"result.24" 0.953867719343432 3 -8109112.08762176 -99011.9373725136 16579112.0778877
"result.25" 0.963557137754611 3 -8101259.97468328 -98863.8614090315 16563111.7000837
"result.26" 0.961832176153426 3 -8120934.52284816 -98981.7166849209 16602696.5069653
"result.27" 0.986447703179489 3 -8093502.86323198 -98864.2670544174 16547598.2884719
"result.28" 0.964927175965283 3 -8075698.92931714 -99223.6979947998 16512709.282523
"result.29" 0.975439851112313 3 -8130003.78131875 -98966.0279909553 16620803.6465186
"result.30" 0.973824475257339 3 -8091664.23306122 -98853.3698626609 16543899.2337469
"result.31" 0.977113211781347 3 -8148536.63689366 -99173.7558405386 16658284.8133675
"result.32" 0.974566456565558 3 -8123137.29251541 -98804.1009059208 16606746.8147418
"result.33" 0.959566628795099 3 -8097811.94204369 -98804.5609211383 16556097.0338288
"result.34" 0.970886068755331 3 -8133656.79156799 -98849.9432766723 16627877.4975885
"result.35" 0.983259529841313 3 -8111515.63195308 -98944.0239214855 16583783.3396483
"result.36" 0.966759638093026 3 -8105998.83943993 -99013.3460663245 16572888.3989116
"result.37" 0.973086032946123 3 -8147810.58784891 -99134.709989982 16656754.6235769
"result.38" 0.97079152698663 3 -8113563.90621317 -98689.8852592582 16587371.610844
"result.39" 0.688226869983567 2 -8095468.39355956 -99165.0684646908 16552057.1743586
"result.40" 0.97261342195091 3 -8148397.02016703 -99049.967382296 16657758.0029978
"result.41" 0.963569118144282 3 -8133744.30757165 -98749.6865313879 16627852.0161052
"result.42" 0.952337541599506 3 -8174499.67607685 -99025.089014823 16709913.5580825
"result.43" 0.963575924156492 3 -8110718.56961868 -98974.888168992 16582250.9434745
"result.44" 0.975642904136725 3 -8095220.69336319 -99143.4771968077 16551592.3690191
"result.45" 0.956360236915826 3 -8110382.72993796 -98779.9506078563 16581189.3889908
"result.46" 0.953706071003638 3 -8108721.16603817 -99035.3406203567 16578377.0412162
"result.47" 0.981266211086412 3 -8099158.0871167 -99094.3685166585 16559368.9391658
"result.48" 0.960182892863338 3 -8103040.48484549 -99138.8225419881 16567222.6426741
"result.49" 0.968221420683733 3 -8097650.76885291 -99079.4460878506 16556324.4577806
"result.50" 0.974712287684053 3 -8105752.1408548 -98789.3916635201 16571947.0929358
