"","ARI","AMI","NMI","spARI"
"BNPMFA",0.589178969493972,0.452239381217572,0.452991093975106,0.656537252779733
"BayesSpace",0.368856339723136,0.499969698688083,0.500803396667151,0.36182691126777
"SCMEB",0.285225571945384,0.407306733809619,0.408351468102458,0.221963738027274
"DRSC",0.227819994540537,0.385569204496335,0.386756443372824,0.191632477280321
"Louvain",0.304462013466594,0.400409540998657,0.401382376165212,0.271805269300292
"SpaGCN",0.212731867420573,0.328005506504593,0.328981232694578,0.177557651692479
"BASS",0.384093960399175,0.511188518247556,0.511898094988794,0.333592341873416
"STAGATE",0.349361549356325,0.502751736210101,0.503527048070819,0.31603333551897
"GraphST",0.256065353685819,0.417223135828426,0.418145070953505,0.239755519742165
"ADEPT",0.377396904057584,0.528945058604132,0.529680615482548,0.343251035406325
"BANKSY",0.312582156810493,0.442834501801099,0.443758864756393,0.271887978525172
