"","ARI","AMI","NMI","spARI"
"BNPMFA",0.638023558201986,0.494314426564932,0.495088130200378,0.678380831298731
"BayesSpace",0.225900851751416,0.386541577670428,0.387525565736458,0.200700837051862
"SCMEB",0.263047981001475,0.37292383663687,0.374087551718724,0.199400283221239
"DRSC",0.308941642367335,0.406773300013214,0.407747153066247,0.269969338982373
"Louvain",0.262493386981646,0.327385200099666,0.328522675162377,0.224964667022075
"SpaGCN",0.289377724940966,0.353359752810855,0.354377142345386,0.235968682080767
"BASS",0.378225376933873,0.48620104039685,0.486988581519105,0.323002672357421
"STAGATE",0.237048035263643,0.395526622854259,0.396437610373797,0.200961568693741
"GraphST",0.247659081138148,0.357337457445426,0.358316122121088,0.204556702087131
"ADEPT",0.237339750435207,0.393650536473725,0.39455025437529,0.193409680315026
"BANKSY",0.29215267107948,0.40204455758062,0.403227162567397,0.243270967409919
